dominio;empresaNro;razonSocial;linea;interno;anioModelo;chasisMarca;carroceriaMarca;vigenciaHasta;vigenciaHastaInspeccionTecnica;tecnicaNro
AA841QU;2068;;154;;;;;;;
AA841QV;2068;;154;;;;;;;
AC409LT;2068;;154;;;;;;;
AC409LU;2068;;154;;;;;;;
AC992HJ;2068;;154;;;;;;;
AC992HK;2068;;154;;;;;;;
AC992HL;2068;;154;;;;;;;
AC992HM;2068;;154;;;;;;;
AD115XO;2068;;154;;;;;;;
AD115XP;2068;;154;;;;;;;
AD115XQ;2068;;154;;;;;;;
AD179QQ;2068;;154;;;;;;;
AD295FY;2068;;154;;;;;;;
AD295FZ;2068;;154;;;;;;;
AD295IC;2068;;154;;;;;;;
AD295ID;2068;;154;;;;;;;
AD295LL;2068;;154;;;;;;;
AD295MO;2068;;154;;;;;;;
AD372ID;2068;;154;;;;;;;
AD674OQ;2068;;154;;;;;;;
AD674OR;2068;;154;;;;;;;
AD678GR;2068;;154;;;;;;;
AD725PO;2068;;154;;;;;;;
AD830HP;2068;;154;;;;;;;
AD830HQ;2068;;154;;;;;;;
AD830HR;2068;;154;;;;;;;
AD830HS;2068;;154;;;;;;;
AD830HT;2068;;154;;;;;;;
AD830HU;2068;;154;;;;;;;
AD830HV;2068;;154;;;;;;;
AD830HW;2068;;154;;;;;;;
AD830HX;2068;;154;;;;;;;
AD830HY;2068;;154;;;;;;;
AD830HZ;2068;;154;;;;;;;
AD846WA;2068;;154;;;;;;;
AD846WB;2068;;154;;;;;;;
AD846WC;2068;;154;;;;;;;
AD846WD;2068;;154;;;;;;;
AD846WE;2068;;154;;;;;;;
AD846WF;2068;;154;;;;;;;
AD846WG;2068;;154;;;;;;;
AD846WH;2068;;154;;;;;;;
AD846WI;2068;;154;;;;;;;
AD846WJ;2068;;154;;;;;;;
AD846WK;2068;;154;;;;;;;
AD846WL;2068;;154;;;;;;;
AE094NB;2068;;154;;;;;;;
AE094NC;2068;;154;;;;;;;
AE094ND;2068;;154;;;;;;;
AE094NE;2068;;154;;;;;;;
AE094NF;2068;;154;;;;;;;
AE094NG;2068;;154;;;;;;;
AE567QC;2068;;154;;;;;;;
AE567QE;2068;;154;;;;;;;
AE567QF;2068;;154;;;;;;;
AE567QG;2068;;154;;;;;;;
AE567QH;2068;;154;;;;;;;
AE567QI;2068;;154;;;;;;;
AE567QL;2068;;154;;;;;;;
AE759BN;2068;;154;;;;;;;
AE759BO;2068;;154;;;;;;;
AE828XB;2068;;154;;;;;;;
AE828XC;2068;;154;;;;;;;
AE835VH;2068;;154;;;;;;;
AE835VI;2068;;154;;;;;;;
AE877ZB;2068;;154;;;;;;;
AF247PH;2068;;154;;;;;;;
AF247PI;2068;;154;;;;;;;
AF247PJ;2068;;154;;;;;;;
AF247PK;2068;;154;;;;;;;
AF247PL;2068;;154;;;;;;;
AF324QO;2068;;154;;;;;;;
AF324QP;2068;;154;;;;;;;
AF324QQ;2068;;154;;;;;;;
AF324QR;2068;;154;;;;;;;
AF324QU;2068;;154;;;;;;;
AF409YC;2068;;154;;;;;;;
AF445BW;2068;;154;;;;;;;
AF445BX;2068;;154;;;;;;;
AF445BY;2068;;154;;;;;;;
AF445CE;2068;;154;;;;;;;
AF445CF;2068;;154;;;;;;;
AF445CG;2068;;154;;;;;;;
AG027RS;2068;;154;;;;;;;
AG186EG;2068;;154;;;;;;;
AG557HS;2068;;154;;;;;;;
AG702ED;2068;;154;;;;;;;
AG702EF;2068;;154;;;;;;;
AG702EG;2068;;154;;;;;;;
AG702EH;2068;;154;;;;;;;
AG822VL;2068;;154;;;;;;;
AG822VM;2068;;154;;;;;;;
AG822VN;2068;;154;;;;;;;
AG822WB;2068;;154;;;;;;;
AH136GD;2068;;154;;;;;;;
AH136GE;2068;;154;;;;;;;
AH136GF;2068;;154;;;;;;;
AH136GL;2068;;154;;;;;;;
AH136GM;2068;;154;;;;;;;
AH229ID;2068;;154;;;;;;;
AH229IE;2068;;154;;;;;;;
AH229IF;2068;;154;;;;;;;
AH229IO;2068;;154;;;;;;;
AH229IP;2068;;154;;;;;;;
AI275DV;2068;;154;;;;;;;
AI275DW;2068;;154;;;;;;;
AI275DX;2068;;154;;;;;;;
AI275DY;2068;;154;;;;;;;
AI275DZ;2068;;154;;;;;;;
OTK168;2068;;154;;;;;;;
OTK170;2068;;154;;;;;;;
OTK171;2068;;154;;;;;;;
OTK173;2068;;154;;;;;;;
